Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","01/02/2022","2534","N649QX","BOI","15:15","15:42","233","245","27","15:58","16","7","0","12","0","20"
"QX","01/03/2022","2428","N644QX","PDX","21:15","00:00","284","0","0","00:00","0","0","0","0","0","0"
"QX","01/03/2022","2534","N649QX","BOI","15:15","15:54","233","253","39","16:08","14","39","0","20","0","0"
"QX","01/06/2022","2409","N648QX","PDX","07:00","00:00","273","0","0","00:00","0","0","0","0","0","0"
"QX","01/06/2022","2585","N634QX","BOI","15:50","16:01","232","258","11","16:24","23","11","0","26","0","0"
"QX","01/07/2022","2409","N648QX","PDX","07:00","00:00","273","0","0","00:00","0","0","0","0","0","0"
"QX","01/07/2022","2585","N631QX","BOI","15:50","15:48","232","252","-2","16:02","14","0","0","18","0","0"
"QX","01/08/2022","2409","N644QX","PDX","07:00","07:23","273","271","23","07:36","13","0","0","0","0","21"
"QX","01/08/2022","2585","N620QX","BOI","15:50","15:46","232","250","-4","16:17","31","0","0","0","0","0"
"QX","01/09/2022","2409","N635QX","PDX","07:00","07:56","273","273","56","08:09","13","56","0","0","0","0"
"QX","01/09/2022","2585","N627QX","BOI","15:50","15:53","232","235","3","16:11","18","0","0","0","0","0"
"QX","01/10/2022","2409","N648QX","PDX","07:00","06:57","273","278","-3","07:09","12","0","0","0","0","0"
"QX","01/10/2022","2585","N622QX","BOI","15:50","16:01","232","234","11","16:14","13","0","0","0","0","0"
"QX","01/13/2022","2409","N637QX","PDX","07:00","07:11","273","289","11","07:29","18","11","0","16","0","0"
"QX","01/13/2022","2585","N650QX","BOI","15:50","15:45","232","250","-5","16:03","18","0","0","0","0","0"
"QX","01/14/2022","2409","N631QX","PDX","07:00","06:54","273","291","-6","07:25","31","0","0","0","0","0"
"QX","01/14/2022","2585","N639QX","BOI","15:50","15:56","232","220","6","16:15","19","0","0","0","0","0"
"QX","01/15/2022","2409","N626QX","PDX","07:00","10:11","273","287","191","10:49","38","191","0","14","0","0"
"QX","01/15/2022","2585","N647QX","BOI","15:50","15:56","232","238","6","16:24","28","0","0","0","0","0"
"QX","01/16/2022","2409","N620QX","PDX","07:00","06:58","273","297","-2","07:24","26","0","0","22","0","0"
"QX","01/16/2022","2585","N632QX","BOI","15:50","18:19","232","219","149","18:30","11","136","0","0","0","0"
"QX","01/17/2022","2409","N624QX","PDX","07:00","06:40","273","289","-20","07:02","22","0","0","0","0","0"
"QX","01/17/2022","2585","N632QX","BOI","15:50","15:46","232","244","-4","16:01","15","0","0","0","0","0"
"QX","01/20/2022","2409","N644QX","PDX","07:00","06:52","273","272","-8","07:10","18","0","0","0","0","0"
"QX","01/20/2022","2585","N643QX","BOI","15:50","15:52","232","224","2","16:09","17","0","0","0","0","0"
"QX","01/21/2022","2409","N636QX","PDX","07:00","08:01","273","257","61","08:20","19","0","0","45","0","0"
"QX","01/21/2022","2585","N633QX","BOI","15:50","15:56","232","218","6","16:20","24","0","0","0","0","0"
"QX","01/22/2022","2409","N620QX","PDX","07:00","07:43","273","301","43","08:39","56","0","0","71","0","0"
"QX","01/22/2022","2585","N649QX","BOI","15:50","16:01","232","230","11","16:21","20","0","0","0","0","0"
"QX","01/23/2022","2409","N636QX","PDX","07:00","08:23","273","0","83","08:57","34","0","0","0","0","0"
"QX","01/23/2022","2585","N622QX","BOI","15:50","16:03","232","247","13","16:26","23","13","0","15","0","0"
"QX","01/24/2022","2409","N627QX","PDX","07:00","06:58","273","308","-2","07:41","43","0","0","33","0","0"
"QX","01/24/2022","2585","N644QX","BOI","15:50","15:45","232","232","-5","16:00","15","0","0","0","0","0"
"QX","01/27/2022","2409","N644QX","PDX","07:00","07:00","273","257","0","07:13","13","0","0","0","0","0"
"QX","01/27/2022","2585","N623QX","BOI","15:50","16:14","232","210","24","16:26","12","0","0","0","0","0"
"QX","01/28/2022","2409","N644QX","PDX","07:00","07:00","273","311","0","08:04","64","0","0","38","0","0"
"QX","01/28/2022","2585","N647QX","BOI","15:50","18:04","232","231","134","18:27","23","0","0","0","0","133"
"QX","01/29/2022","2409","N649QX","PDX","07:00","07:11","273","268","11","07:22","11","0","0","0","0","0"
"QX","01/29/2022","2585","N647QX","BOI","15:50","16:19","232","227","29","16:35","16","0","0","0","0","24"
"QX","01/30/2022","2409","N647QX","PDX","07:00","07:10","273","269","10","07:21","11","0","0","0","0","0"
"QX","01/30/2022","2585","N633QX","BOI","15:50","15:54","232","268","4","16:45","51","0","0","40","0","0"
"QX","01/31/2022","2409","N644QX","PDX","07:00","06:54","273","279","-6","07:08","14","0","0","0","0","0"
"QX","01/31/2022","2585","N628QX","BOI","15:50","15:43","232","248","-7","16:04","21","0","0","0","0","0"
"QX","02/03/2022","2585","N651QX","BOI","15:50","17:17","232","250","87","17:58","41","87","0","18","0","0"
"QX","02/04/2022","2585","N645QX","BOI","15:50","15:39","232","235","-11","15:59","20","0","0","0","0","0"
"QX","02/05/2022","2585","N630QX","BOI","15:50","16:31","232","228","41","16:45","14","11","0","0","0","26"
"QX","02/06/2022","2585","N639QX","BOI","15:50","15:48","232","232","-2","16:11","23","0","0","0","0","0"
"QX","02/07/2022","2585","N635QX","BOI","15:50","15:40","232","212","-10","15:51","11","0","0","0","0","0"
"QX","02/10/2022","2585","N627QX","BOI","15:50","15:53","232","238","3","16:12","19","0","0","0","0","0"
"QX","02/11/2022","2585","N642QX","BOI","15:50","15:50","232","222","0","16:11","21","0","0","0","0","0"
"QX","02/12/2022","2585","N650QX","BOI","15:50","15:43","232","223","-7","15:58","15","0","0","0","0","0"
"QX","02/13/2022","2585","N634QX","BOI","15:50","16:00","232","255","10","16:35","35","0","0","23","0","10"
"QX","02/14/2022","2585","N650QX","BOI","15:50","15:44","232","246","-6","16:03","19","0","0","0","0","0"
"QX","02/17/2022","2584","N648QX","BOI","15:50","16:18","235","0","28","00:00","0","0","0","0","0","0"
"QX","02/18/2022","2584","N630QX","BOI","15:50","18:26","235","238","156","18:45","19","16","0","3","0","140"
"QX","02/19/2022","2584","N624QX","BOI","15:50","15:49","235","229","-1","16:02","13","0","0","0","0","0"
"QX","02/20/2022","2584","N638QX","BOI","15:50","16:20","235","250","30","16:35","15","1","0","15","0","29"
"QX","02/21/2022","2584","N620QX","BOI","15:50","15:55","235","240","5","16:17","22","0","0","0","0","0"
"QX","02/24/2022","2584","N630QX","BOI","15:50","16:26","235","245","36","17:06","40","36","0","10","0","0"
"QX","02/25/2022","2584","N624QX","BOI","15:50","15:53","235","236","3","16:19","26","0","0","0","0","0"
"QX","02/26/2022","2584","N620QX","BOI","15:50","15:58","235","211","8","16:12","14","0","0","0","0","0"
"QX","02/27/2022","2584","N625QX","BOI","15:50","15:43","235","227","-7","15:55","12","0","0","0","0","0"
"QX","02/28/2022","2584","N643QX","BOI","15:50","15:58","235","233","8","16:13","15","0","0","0","0","0"
"QX","03/03/2022","2584","N637QX","BOI","15:50","15:48","235","234","-2","16:06","18","0","0","0","0","0"
"QX","03/04/2022","2584","N637QX","BOI","15:50","15:49","235","227","-1","16:10","21","0","0","0","0","0"
"QX","03/05/2022","2584","N637QX","BOI","15:50","16:02","235","244","12","16:15","13","2","0","9","0","10"
"QX","03/06/2022","2584","N633QX","BOI","15:50","00:00","235","0","0","00:00","0","0","0","0","0","0"
"QX","03/07/2022","2584","N630QX","BOI","15:50","15:50","235","223","0","16:14","24","0","0","0","0","0"
"QX","03/10/2022","2584","N620QX","BOI","15:50","16:12","235","243","22","16:42","30","22","0","8","0","0"
"QX","03/11/2022","2584","N633QX","BOI","15:50","15:53","235","229","3","16:05","12","0","0","0","0","0"
"QX","03/12/2022","2584","N650QX","BOI","15:50","15:50","235","259","0","16:18","28","0","0","24","0","0"
"QX","03/13/2022","2584","N629QX","BOI","15:50","15:47","235","240","-3","16:10","23","0","0","0","0","0"
"QX","03/14/2022","2584","N629QX","BOI","15:50","16:42","235","221","52","16:57","15","38","0","0","0","0"
"QX","03/17/2022","2584","N651QX","BOI","15:50","15:47","234","230","-3","16:04","17","0","0","0","0","0"
"QX","03/18/2022","2584","N643QX","BOI","15:50","15:57","234","239","7","16:39","42","0","0","0","0","0"
"QX","03/20/2022","2584","N635QX","BOI","15:50","15:46","234","236","-4","16:07","21","0","0","0","0","0"
"QX","03/21/2022","2584","N637QX","BOI","15:50","15:53","234","231","3","16:15","22","0","0","0","0","0"
"QX","03/24/2022","2584","N646QX","BOI","15:50","15:51","234","225","1","16:12","21","0","0","0","0","0"
"QX","03/25/2022","2584","N644QX","BOI","15:50","16:00","234","233","10","16:19","19","0","0","0","0","0"
"QX","03/27/2022","2584","N649QX","BOI","15:50","15:48","234","236","-2","15:59","11","0","0","0","0","0"
"QX","03/28/2022","2584","N645QX","BOI","15:50","15:48","234","239","-2","16:11","23","0","0","0","0","0"
"QX","03/31/2022","2584","N650QX","BOI","15:50","15:50","234","230","0","16:22","32","0","0","0","0","0"
"QX","04/01/2022","2584","N634QX","BOI","15:50","15:49","234","225","-1","16:03","14","0","0","0","0","0"
"QX","04/03/2022","2584","N634QX","BOI","15:50","15:50","234","235","0","16:05","15","0","0","0","0","0"
"QX","04/04/2022","2584","N638QX","BOI","15:50","16:25","234","250","35","16:44","19","5","0","16","0","30"
"QX","04/07/2022","2584","N635QX","BOI","15:50","15:51","234","221","1","16:12","21","0","0","0","0","0"
"QX","04/08/2022","2584","N626QX","BOI","15:50","15:50","234","223","0","16:08","18","0","0","0","0","0"
"QX","04/10/2022","2584","N645QX","BOI","15:50","16:19","234","234","29","16:40","21","13","0","0","0","16"
"QX","04/11/2022","2584","N644QX","BOI","15:50","15:49","234","248","-1","16:09","20","0","0","0","0","0"
"QX","04/14/2022","2584","N631QX","BOI","15:50","17:29","234","246","99","17:51","22","0","0","12","0","99"
"QX","04/15/2022","2584","N634QX","BOI","15:50","16:59","234","247","69","17:21","22","69","0","13","0","0"
"QX","04/17/2022","2584","N623QX","BOI","15:50","15:45","234","245","-5","16:02","17","0","0","0","0","0"
"QX","04/18/2022","2584","N637QX","BOI","15:50","15:53","234","257","3","16:14","21","0","0","26","0","0"
"QX","04/19/2022","2584","N642QX","BOI","16:10","16:08","233","241","-2","16:27","19","0","0","0","0","0"
"QX","04/20/2022","2584","N641QX","BOI","16:10","16:04","233","245","-6","16:22","18","0","0","0","0","0"
"QX","04/21/2022","2584","N622QX","BOI","16:10","16:09","233","246","-1","16:23","14","0","0","0","0","0"
"QX","04/22/2022","2584","N650QX","BOI","16:10","17:16","233","240","66","17:43","27","0","8","7","0","58"
"QX","04/24/2022","2584","N651QX","BOI","16:10","16:36","233","221","26","16:54","18","0","0","0","0","0"
"QX","04/25/2022","2584","N649QX","BOI","16:10","16:07","233","235","-3","16:30","23","0","0","0","0","0"
"QX","04/26/2022","2584","N635QX","BOI","16:10","16:11","233","242","1","16:27","16","0","0","0","0","0"
"QX","04/27/2022","2584","N643QX","BOI","16:10","16:11","233","246","1","16:35","24","0","0","0","0","0"
"QX","04/28/2022","2584","N650QX","BOI","16:10","16:12","233","230","2","16:29","17","0","0","0","0","0"
"QX","04/29/2022","2584","N625QX","BOI","16:10","16:17","233","222","7","16:39","22","0","0","0","0","0"
"QX","05/01/2022","2584","N637QX","BOI","16:10","00:00","233","0","0","00:00","0","0","0","0","0","0"
"QX","05/02/2022","2584","N626QX","BOI","16:10","16:08","233","218","-2","16:26","18","0","0","0","0","0"
"QX","05/03/2022","2584","N629QX","BOI","16:10","17:06","233","222","56","17:26","20","4","0","0","0","41"
"QX","05/04/2022","2584","N631QX","BOI","16:10","16:22","233","217","12","16:43","21","0","0","0","0","0"
"QX","05/05/2022","2584","N629QX","BOI","16:10","16:37","233","226","27","17:02","25","0","0","0","0","20"
"QX","05/06/2022","2584","N643QX","BOI","16:10","16:24","233","248","14","16:48","24","7","0","15","0","7"
"QX","05/08/2022","2584","N631QX","BOI","16:10","16:10","233","259","0","16:37","27","0","0","26","0","0"
"QX","05/09/2022","2584","N639QX","BOI","16:10","16:08","233","240","-2","16:29","21","0","0","0","0","0"
"QX","05/10/2022","2584","N638QX","BOI","16:10","16:06","233","229","-4","16:19","13","0","0","0","0","0"
"QX","05/11/2022","2584","N648QX","BOI","16:10","16:37","233","223","27","16:58","21","0","0","0","0","17"
"QX","05/12/2022","2584","N622QX","BOI","16:10","16:26","233","221","16","16:47","21","0","0","0","0","0"
"QX","05/13/2022","2584","N622QX","BOI","16:10","16:07","233","227","-3","16:24","17","0","0","0","0","0"
"QX","05/15/2022","2584","N622QX","BOI","16:10","16:07","233","240","-3","16:38","31","0","0","0","0","0"
"QX","05/16/2022","2584","N625QX","BOI","16:10","16:10","233","231","0","16:30","20","0","0","0","0","0"
"QX","05/17/2022","2584","N643QX","BOI","16:10","16:14","233","231","4","16:36","22","0","0","0","0","0"
"QX","05/18/2022","2584","N628QX","BOI","16:10","16:16","233","227","6","16:30","14","0","0","0","0","0"
"QX","05/19/2022","2584","N628QX","BOI","16:15","16:16","232","244","1","16:33","17","0","0","0","0","0"
"QX","05/20/2022","2584","N625QX","BOI","16:15","16:24","232","228","9","16:42","18","0","0","0","0","0"
"QX","05/21/2022","2584","N626QX","BOI","16:15","16:13","232","229","-2","16:32","19","0","0","0","0","0"
"QX","05/22/2022","2584","N642QX","BOI","16:15","16:14","232","233","-1","16:33","19","0","0","0","0","0"
"QX","05/23/2022","2584","N627QX","BOI","16:15","16:13","232","226","-2","16:31","18","0","0","0","0","0"
"QX","05/24/2022","2584","N627QX","BOI","16:15","16:43","232","221","28","17:04","21","17","0","0","0","0"
"QX","05/25/2022","2584","N639QX","BOI","16:15","16:59","232","232","44","17:36","37","0","0","0","0","44"
"QX","05/26/2022","2584","N620QX","BOI","16:15","16:20","232","252","5","17:00","40","0","0","25","0","0"
"QX","05/27/2022","2584","N637QX","BOI","16:15","16:11","232","229","-4","16:33","22","0","0","0","0","0"
"QX","05/28/2022","2584","N647QX","BOI","16:15","16:44","232","221","29","17:00","16","18","0","0","0","0"
"QX","05/29/2022","2584","N626QX","BOI","16:15","16:50","232","214","35","17:10","20","0","0","0","0","17"
"QX","05/30/2022","2584","N647QX","BOI","16:15","17:03","232","217","48","17:26","23","33","0","0","0","0"
"QX","05/31/2022","2584","N624QX","BOI","16:15","16:24","232","220","9","16:37","13","0","0","0","0","0"
"QX","06/01/2022","2584","N646QX","BOI","16:15","16:10","232","232","-5","16:31","21","0","0","0","0","0"
"QX","06/02/2022","2584","N625QX","BOI","16:15","16:12","232","247","-3","16:33","21","0","0","0","0","0"
"QX","06/03/2022","2584","N649QX","BOI","16:15","16:29","232","232","14","16:52","23","0","0","0","0","0"
"QX","06/04/2022","2584","N630QX","BOI","16:15","16:31","232","223","16","16:43","12","0","0","0","0","0"
"QX","06/05/2022","2584","N638QX","BOI","16:15","16:15","232","231","0","16:31","16","0","0","0","0","0"
"QX","06/06/2022","2584","N644QX","BOI","16:15","16:13","232","259","-2","16:41","28","0","0","25","0","0"
"QX","06/07/2022","2584","N626QX","BOI","16:15","16:25","232","261","10","16:44","19","0","0","29","0","10"
"QX","06/08/2022","2584","N643QX","BOI","16:15","16:30","232","237","15","16:48","18","3","0","5","0","12"
"QX","06/09/2022","2584","N629QX","BOI","16:15","16:21","232","239","6","16:42","21","0","0","0","0","0"
"QX","06/10/2022","2584","N634QX","BOI","16:15","16:09","232","238","-6","16:37","28","0","0","0","0","0"
"QX","06/11/2022","2584","N633QX","BOI","16:15","17:30","232","241","75","17:49","19","0","0","9","0","75"
"QX","06/12/2022","2584","N650QX","BOI","16:15","16:17","232","240","2","16:41","24","0","0","0","0","0"
"QX","06/13/2022","2584","N625QX","BOI","16:15","17:28","232","234","73","17:56","28","0","0","2","0","73"
"QX","06/14/2022","2584","N623QX","BOI","16:15","16:33","232","0","18","16:52","19","0","0","0","0","0"
"QX","06/15/2022","2584","N636QX","BOI","16:15","16:24","232","242","9","16:43","19","9","0","10","0","0"
"QX","06/16/2022","2279","N623QX","BOI","21:05","21:02","232","224","-3","21:20","18","0","0","0","0","0"
"QX","06/16/2022","2584","N622QX","BOI","15:45","15:45","225","231","0","16:00","15","0","0","0","0","0"
"QX","06/17/2021","2200","N638QX","BOI","16:15","17:16","240","227","61","17:32","16","48","0","0","0","0"
"QX","06/17/2022","2584","N644QX","BOI","15:45","15:43","225","229","-2","16:10","27","0","0","0","0","0"
"QX","06/18/2021","2200","N650QX","BOI","16:15","16:15","240","232","0","16:33","18","0","0","0","0","0"
"QX","06/18/2022","2584","N631QX","BOI","15:45","15:42","225","212","-3","15:56","14","0","0","0","0","0"
"QX","06/19/2021","2200","N636QX","BOI","16:15","17:17","240","240","62","17:48","31","9","0","0","0","53"
"QX","06/19/2022","2279","N631QX","BOI","21:05","21:10","232","209","5","21:28","18","0","0","0","0","0"
"QX","06/19/2022","2584","N623QX","BOI","15:45","15:51","225","204","6","16:01","10","0","0","0","0","0"
"QX","06/20/2021","2200","N620QX","BOI","16:15","16:31","240","235","16","16:42","11","0","0","0","0","0"
"QX","06/20/2022","2584","N623QX","BOI","15:45","16:17","225","236","32","16:46","29","32","0","11","0","0"
"QX","06/21/2021","2200","N645QX","BOI","16:15","16:15","240","223","0","16:32","17","0","0","0","0","0"
"QX","06/21/2022","2584","N630QX","BOI","15:45","15:43","225","242","-2","16:10","27","0","0","15","0","0"
"QX","06/22/2021","2200","N623QX","BOI","16:15","16:09","240","213","-6","16:19","10","0","0","0","0","0"
"QX","06/22/2022","2584","N630QX","BOI","15:45","15:59","225","238","14","16:17","18","14","0","13","0","0"
"QX","06/23/2021","2200","N624QX","BOI","16:15","16:15","240","219","0","16:29","14","0","0","0","0","0"
"QX","06/23/2022","2279","N642QX","BOI","21:05","20:58","232","240","-7","21:26","28","0","0","0","0","0"
"QX","06/23/2022","2584","N630QX","BOI","15:45","15:42","225","222","-3","15:57","15","0","0","0","0","0"
"QX","06/24/2021","2200","N645QX","BOI","16:15","16:34","240","228","19","17:01","27","0","0","0","0","0"
"QX","06/24/2022","2584","N630QX","BOI","15:45","15:40","225","232","-5","16:00","20","0","0","0","0","0"
"QX","06/25/2021","2200","N651QX","BOI","16:15","16:59","240","217","44","17:25","26","21","0","0","0","0"
"QX","06/25/2022","2584","N633QX","BOI","15:45","15:49","225","226","4","16:03","14","0","0","0","0","0"
"QX","06/26/2021","2200","N623QX","BOI","16:15","18:36","240","211","141","18:48","12","0","0","0","0","112"
"QX","06/26/2022","2279","N633QX","BOI","21:05","21:34","232","238","29","21:55","21","10","0","6","0","19"
"QX","06/26/2022","2584","N649QX","BOI","15:45","15:44","225","232","-1","16:01","17","0","0","0","0","0"
"QX","06/27/2021","2200","N625QX","BOI","16:15","16:30","240","208","15","16:44","14","0","0","0","0","0"
"QX","06/27/2022","2584","N647QX","BOI","15:45","15:41","225","226","-4","15:59","18","0","0","0","0","0"
"QX","06/28/2021","2200","N648QX","BOI","16:15","16:31","240","226","16","17:11","40","0","0","0","0","0"
"QX","06/28/2022","2584","N620QX","BOI","15:45","15:36","225","214","-9","15:47","11","0","0","0","0","0"
"QX","06/29/2021","2200","N625QX","BOI","16:15","16:18","240","212","3","16:35","17","0","0","0","0","0"
"QX","06/29/2022","2584","N647QX","BOI","15:45","16:32","225","242","47","16:46","14","47","0","17","0","0"
"QX","06/30/2021","2200","N630QX","BOI","16:15","16:21","240","223","6","16:44","23","0","0","0","0","0"
"QX","06/30/2022","2279","N647QX","BOI","21:05","21:01","232","244","-4","21:17","16","0","0","0","0","0"
"QX","06/30/2022","2584","N639QX","BOI","15:45","15:37","225","235","-8","15:58","21","0","0","0","0","0"
"QX","07/01/2021","2200","N637QX","BOI","16:15","16:21","240","215","6","16:42","21","0","0","0","0","0"
