name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
O'Hare Chicago,2022-06-01T00:00:00,79.2,79.2,66.9,66.2,0,0,,0,0,19.5,9.1,259,1011.8,99.6,9.9,0,,0,30,Overcast,cloudy,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T01:00:00,75.1,75.1,67.1,76.26,0.005,100,rain,0,0,18.3,11,251,1012.2,99.6,9.9,0,,0,30,"Rain, Overcast",rain,"72534014819,KORD,72530094846,74466504838,KPWK"
O'Hare Chicago,2022-06-01T02:00:00,71.4,71.4,69.2,92.79,0.032,100,rain,0,0,15.7,9,217,1012.3,99.1,8.1,0,,0,10,"Rain, Overcast",rain,"72534014819,KORD,72530094846,74466504838,KPWK"
O'Hare Chicago,2022-06-01T03:00:00,71.4,71.4,68.1,89.35,0.133,100,rain,0,0,12.5,6.3,272,1011.8,93.3,9.9,0,,0,30,"Rain, Overcast",rain,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T04:00:00,70.3,70.3,67,89.29,0,0,,0,0,9.6,0.3,358,1011.4,82.3,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T05:00:00,70.2,70.2,67.9,92.46,0,0,,0,0,6.3,3.4,226,1012.3,94.4,9.8,0,,0,10,Overcast,cloudy,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T06:00:00,70.2,70.2,67.6,91.29,0,0,,0,0,12.8,7.7,319,1012.7,97.4,9.9,25,0.1,0,30,Overcast,cloudy,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T07:00:00,67.2,67.2,59.5,76.19,0,0,,0,0,15.4,9.8,357,1014.3,97.4,9.9,37,0.1,0,10,Overcast,cloudy,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T08:00:00,67.1,67.1,57.1,70.25,0,0,,0,0,14.8,7.3,340,1014.5,97.4,9.9,74,0.3,1,10,Overcast,cloudy,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T09:00:00,68.1,68.1,57.5,68.89,0,0,,0,0,12.3,10.2,348,1014.7,100,9.9,348,1.3,3,10,Overcast,cloudy,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T10:00:00,68.3,68.3,56,64.8,0,0,,0,0,10.3,11.1,11,1014.1,89.7,9.9,359,1.3,4,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T11:00:00,70.2,70.2,56.9,62.71,0,0,,0,0,11.2,7.9,22,1014.2,78.9,9.9,543,2,5,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T12:00:00,71.3,71.3,56.1,58.71,0,0,,0,0,8.9,3.7,40,1014.6,78.9,9.9,455,1.6,5,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T13:00:00,72.7,72.7,56.6,57.02,0,0,,0,0,9.4,4.1,2,1014.2,78.9,9.9,993,3.6,10,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T14:00:00,71.7,71.7,56.6,58.9,0,0,,0,0,8.7,7.6,69,1014.4,81.8,9.9,501,1.8,5,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T15:00:00,71.6,71.6,56.5,59,0,0,,0,0,7.6,7.2,80,1014.2,81.8,9.9,364,1.3,4,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T16:00:00,69.1,69.1,53.9,58.41,0,0,,0,0,8.7,11,78,1013.8,81.8,9.9,432,1.6,4,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-06-01T17:00:00,67.8,67.8,53.7,60.49,0,0,,0,0,8.1,9.1,62,1013.8,81.8,9.9,388,1.4,4,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
